近30天的营业额记录如下：（格式为“支出 收入 盈利 日期”）
15 0 -15 2011/11/30 0:00:00
0 0 0 2000/01/30
0 0 0 2000/01/29
0 0 0 2000/01/28
0 0 0 2000/01/27
0 0 0 2000/01/26
0 0 0 2000/01/25
0 0 0 2000/01/24
0 0 0 2000/01/23
0 0 0 2000/01/22
0 0 0 2000/01/21
0 0 0 2000/01/20
0 0 0 2000/01/19
0 0 0 2000/01/18
0 0 0 2000/01/17
0 0 0 2000/01/16
0 0 0 2000/01/15
0 0 0 2000/01/14
0 0 0 2000/01/13
0 0 0 2000/01/12
0 0 0 2000/01/11
0 0 0 2000/01/10
0 0 0 2000/01/09
0 0 0 2000/01/08
0 0 0 2000/01/07
0 0 0 2000/01/06
0 0 0 2000/01/05
0 0 0 2000/01/04
0 0 0 2000/01/03
0 0 0 2000/01/02
近12个月的营业额记录如下：（格式为“支出 收入 盈利 日期”）
15 0 -15 2011/11/30 0:00:00
0 0 0 2000/12/28
0 0 0 2000/11/28
0 0 0 2000/10/28
0 0 0 2000/09/28
0 0 0 2000/08/28
0 0 0 2000/07/28
0 0 0 2000/06/28
0 0 0 2000/05/28
0 0 0 2000/04/28
0 0 0 2000/03/28
0 0 0 2000/02/28
